label,text
spam,VAY ONLINE: Lãi suất 3%/tháng. Không thế chấp. Duyệt trong 2 ngày. Link: bit.ly/3xs1rf
spam,🎉 XIN CHÚC MỪNG! SĐT của bạn trúng SAMSUNG S24. Mã dự thưởng: VN74800. Gọi 0950590259!
spam,🚀 Bitcoin SẮP TĂNG GIÁ! Mua ngay hôm nay. Hướng dẫn: bit.ly/uz8hsp
spam,KHÁM PHÁ: Đầu tư Forex sinh lời 65%. CT: www.shop.com
ham,To day class is there are no class.
ham,Buổi họp dự án B sang 10h30. Mang theo laptop nhé.
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt; worth"
spam,"💰 CẦN TIỀN GẤP? Vay 500 triệu, giải ngân sau 3h. Đăng ký: bit.ly/xrvvnz"
spam,⚠️ CẢNH BÁO: Tài khoản VNPay của bạn có dấu hiệu bất thường. Xác minh: bit.ly/q78xi3
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,Ok. No wahala. Just remember that a friend in need ...
spam,SALE SỐC: Giảm đến 49% laptop. Truy cập my.shop.online ngay!
spam,SALE SỐC! Máy giặt chỉ còn 2000đ. Áp dụng mã VN93270. Link: bit.ly/vzj132
spam,ƯU ĐÃI LỚN: Mua điện thoại chỉ với 10trđ tại www.shop.online. Mã: SALE656
spam,CƠHỘI ĐẦU TƯ! Bitcoin tăng 30% trong tuần. Tài khoản demo: bit.ly/ekokq7
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,2 giờ chiều mình hẹn nhau ở quán quen nhé.
ham,I am in bus on the way to calicut
spam,KHUYẾN MÃI: phụ kiện giảm 70%. Áp dụng mã SALE773!
spam,KIẾM TIỀN ONLINE! 1000k/tháng chỉ 24h/ngày. Chi tiết: bit.ly/am0djo
spam,💥 SIÊU GIẢM GIÁ! thời trang giảm 70%. Thanh toán VNPay giảm thêm!
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
spam,VIỆC LÀM TỰ DO! Thu nhập 500k/tháng. Làm ở nhà. LH: 0966159588
spam,BẠN ĐÃ TRÚNG! MACBOOK PRO M3 trị giá 500000đ từ ZaloPay. Xác nhận tại: app.claim-prize.com
ham,Every day i use to sleep after &lt;#&gt; so only.
spam,VAY ONLINE: Lãi suất 3%/tháng. Không thế chấp. Duyệt trong 24h. Link: bit.ly/q78xi3
ham,Ok then no need to tell me anything i am going to sleep good night
ham,Thanx a lot...
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
spam,"💰 CẦN TIỀN GẤP? Vay 5000 triệu, giải ngân sau 2 ngày. Đăng ký: bit.ly/af7hxx"
ham,S.i'm watching it in live..
ham,Họp kế hoạch quý chuyển sang 17h nhé. Nhớ mang bản vẽ.
spam,KHÓA HỌC ĐẦU TƯ Forex chỉ 50000000kđ. Đăng ký: www.shop.com
ham,Which is weird because I know I had it at one point
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,These won't do. Have to move on to morphine
spam,🔥 FLASH SALE 12h! Laptop giảm 50%. MUA NGAY: bit.ly/z09t78
ham,Oops i thk i dun haf enuff... I go check then tell ü..
spam,SALE SỐC: Giảm đến 49% thời trang. Truy cập www.shop.com ngay!
ham,&lt;#&gt; w jetton ave if you forgot
ham,You didnt complete your gist oh.
ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
spam,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
ham,Tối nay 3h mình đi café nhé. quán quen như mọi khi.
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
spam,⚠️ CẢNH BÁO: Tài khoản MoMo của bạn có dấu hiệu bất thường. Xác minh: bit.ly/sg7a07
ham,Where's my boytoy? I miss you ... What happened?
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
spam,HOT DEAL TRONG NGÀY! Laptop giá cực sốc 10000đ. Mua tại: bit.ly/ekokq7
ham,And of course you should make a stink!
ham,I am going to sleep. I am tired of travel.
spam,QUAN TRỌNG: Phát hiện đăng nhập lạ vào Internet Banking. Kiểm tra: vn.secure.online
